time,quarter,team,player,play,distance,result,assist,points,rebounds,assists,steals,blocks,turnovers,fouls
12:00,1,KNICKS,Towns,Jump Ball Towns vs. Embiid: Tip to Maxey,NA,Jump Ball Towns vs. Embiid: Tip to Maxey,NA,0,0,0,0,0,0,0
11:35,1,SIXERS,Embiid,MISS Embiid 38' 3PT Pullup Jump Shot,38,3PT Pullup Jump Shot,NA,0,0,0,0,0,0,0
11:33,1,SIXERS,Maxey,Maxey REBOUND (Off:1 Def:0),NA,REBOUND,NA,0,1,0,0,0,0,0
11:33,1,SIXERS,Maxey,MISS Maxey 1' Tip Layup Shot,1,Tip Layup Shot,NA,0,0,0,0,0,0,0
11:33,1,SIXERS,76ers,76ers Rebound,NA,REBOUND,NA,0,1,0,0,0,0,0
11:29,1,KNICKS,Anunoby,Anunoby P.FOUL (P1.T1) (S.Foster),NA,FOUL,NA,0,0,0,0,0,0,1
11:17,1,SIXERS,George,MISS George 20' Fadeaway Bank Shot,20,Fadeaway Bank Shot,NA,0,0,0,0,0,0,0
11:15,1,KNICKS,KNICKS,KNICKS Rebound,NA,REBOUND,NA,0,1,0,0,0,0,0
10:57,1,KNICKS,Hart,MISS Hart 1' Driving Layup,1,Driving Layup,NA,0,0,0,0,0,0,0
10:57,1,SIXERS,Oubre,Oubre Jr. BLOCK (1 BLK),NA,BLOCK,NA,0,0,0,0,1,0,0
10:55,1,SIXERS,Maxey,Maxey REBOUND (Off:1 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
10:44,1,SIXERS,Maxey Lost Ball Turnover,Maxey Lost Ball Turnover (P1.T1),NA,TURNOVER,NA,0,0,0,0,0,1,0
10:44,1,KNICKS,Hart,Hart STEAL (1 STL),NA,STEAL,NA,0,0,0,1,0,0,0
10:38,1,KNICKS,Bridges,Bridges 1' Running Dunk (2 PTS) (Hart 1 AST),1,Running Dunk,Hart,2,0,1,0,0,0,0
10:21,1,SIXERS,Edgecombe,Edgecombe 15' Pullup Jump Shot (2 PTS),15,Pullup Jump Shot,NA,2,0,0,0,0,0,0
10:00,1,SIXERS,Maxey Violation,Maxey Violation:Kicked Ball (K.Cutler),NA,Maxey Violation:Kicked Ball (K.Cutler),NA,0,0,0,0,0,0,0
09:53,1,KNICKS,Brunson,Brunson 17' Step Back Jump Shot (2 PTS),17,Step Back Jump Shot,NA,2,0,0,0,0,0,0
09:38,1,KNICKS,Towns,Towns P.FOUL (P1.T2) (C.Kirkland),NA,FOUL,NA,0,0,0,0,0,0,1
09:26,1,SIXERS,Embiid,MISS Embiid 14' Pullup Jump Shot,14,Pullup Jump Shot,NA,0,0,0,0,0,0,0
09:26,1,KNICKS,Towns,Towns BLOCK (1 BLK),NA,BLOCK,NA,0,0,0,0,1,0,0
09:24,1,KNICKS,Hart,Hart REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
09:24,1,SIXERS,Embiid,Embiid P.FOUL (P1.T1) (S.Foster),NA,FOUL,NA,0,0,0,0,0,0,1
09:19,1,KNICKS,Towns,Towns 26' 3PT Jump Shot (3 PTS),26,3PT Jump Shot,NA,3,0,0,0,0,0,0
09:05,1,SIXERS,George,MISS George 25' 3PT Pullup Jump Shot,25,3PT Pullup Jump Shot,NA,0,0,0,0,0,0,0
09:03,1,KNICKS,Towns,Towns REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
08:50,1,KNICKS,Towns Out,Towns Out of Bounds Lost Ball Turnover (P1.T1),NA,TURNOVER,NA,0,0,0,0,0,1,0
08:39,1,SIXERS,George,George 26' 3PT Jump Shot (3 PTS) (Edgecombe 1 AST),26,3PT Jump Shot,Edgecombe,3,0,1,0,0,0,0
08:16,1,KNICKS,Hart,MISS Hart 3PT Jump Shot,NA,3PT Jump Shot,NA,0,0,0,0,0,0,0
08:13,1,SIXERS,Maxey,Maxey REBOUND (Off:1 Def:2),NA,REBOUND,NA,0,1,0,0,0,0,0
08:01,1,SIXERS,Edgecombe,Edgecombe 24' 3PT Jump Shot (5 PTS),24,3PT Jump Shot,NA,3,0,0,0,0,0,0
07:33,1,KNICKS,Bridges,MISS Bridges 3PT Turnaround Fadeaway Shot,NA,3PT Turnaround Fadeaway Shot,NA,0,0,0,0,0,0,0
07:30,1,SIXERS,George,George REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
07:21,1,SIXERS,Embiid,MISS Embiid 18' Jump Shot,18,Jump Shot,NA,0,0,0,0,0,0,0
07:19,1,KNICKS,Anunoby,Anunoby REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
07:15,1,KNICKS,Hart,MISS Hart 1' Running Layup,1,Running Layup,NA,0,0,0,0,0,0,0
07:14,1,KNICKS,KNICKS,KNICKS Rebound,NA,REBOUND,NA,0,1,0,0,0,0,0
07:14,1,SIXERS,Oubre,Oubre Jr. L.B.FOUL (P1.T2) (S.Foster),NA,FOUL,NA,0,0,0,0,0,0,1
07:14,1,KNICKS,KNICKS Timeout,KNICKS Timeout: Regular (Full 1 Short 0),NA,TIMEOUT,NA,0,0,0,0,0,0,0
07:09,1,KNICKS,Brunson,Brunson 12' Driving Floating Jump Shot (4 PTS) (Towns 1 AST),12,Driving Floating Jump Shot,Towns,2,0,1,0,0,0,0
07:09,1,SIXERS,Edgecombe,Edgecombe S.FOUL (P1.T3) (K.Cutler),NA,FOUL,NA,0,0,0,0,0,0,1
07:09,1,KNICKS,Brunson Free Throw,Brunson Free Throw 1 of 1 (5 PTS),NA,Free Throw 1 of 1,NA,1,0,0,0,0,0,0
06:55,1,KNICKS,Towns,Towns S.FOUL (P2.T3) (S.Foster),NA,FOUL,NA,0,0,0,0,0,0,1
