time,quarter,team,player,play,distance,result,assist,points,rebounds,assists,steals,blocks,turnovers,fouls
12:00,1,SPURS,Wembanyama,Jump Ball Wembanyama vs. Holmgren: Tip to Fox,NA,Jump Ball Wembanyama vs. Holmgren: Tip to Fox,NA,0,0,0,0,0,0,0
11:39,1,SPURS,Wembanyama,MISS Wembanyama 17' Turnaround Fadeaway Shot,17,Turnaround Fadeaway Shot,NA,0,0,0,0,0,0,0
11:37,1,SPURS,Fox REBOUND,Fox REBOUND (Off:1 Def:0),NA,REBOUND,NA,0,1,0,0,0,0,0
11:36,1,SPURS,Wembanyama,Wembanyama 27' 3PT Jump Shot (3 PTS) (Fox 1 AST),27,3PT Jump Shot,Fox,3,0,1,0,0,0,0
11:20,1,THUNDER,Hartenstein,Hartenstein 10' Floating Jump Shot (2 PTS) (Gilgeous-Alexander 1 AST),10,Floating Jump Shot,Gilgeous-Alexander,2,0,1,0,0,0,0
11:02,1,SPURS,Champagnie,MISS Champagnie 25' 3PT Jump Shot,25,3PT Jump Shot,NA,0,0,0,0,0,0,0
11:00,1,THUNDER,Hartenstein REBOUND,Hartenstein REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
10:48,1,THUNDER,Gilgeous-Alexander,MISS Gilgeous-Alexander 15' Step Back Jump Shot,15,Step Back Jump Shot,NA,0,0,0,0,0,0,0
10:45,1,THUNDER,Wallace REBOUND,Wallace REBOUND (Off:1 Def:0),NA,REBOUND,NA,0,1,0,0,0,0,0
10:36,1,THUNDER,Holmgren,MISS Holmgren 3' Cutting Dunk Shot,3,Cutting Dunk Shot,NA,0,0,0,0,0,0,0
10:36,1,SPURS,Wembanyama BLOCK,Wembanyama BLOCK (1 BLK),NA,BLOCK,NA,0,0,0,0,1,0,0
10:34,1,THUNDER,Dort REBOUND,Dort REBOUND (Off:1 Def:0),NA,REBOUND,NA,0,1,0,0,0,0,0
10:33,1,UNKNOWN,Thunder Turnover,Thunder Turnover: Shot Clock (T#1),NA,TURNOVER,NA,0,0,0,0,0,1,0
10:25,1,SPURS,Wembanyama,MISS Wembanyama 25' 3PT Jump Shot,25,3PT Jump Shot,NA,0,0,0,0,0,0,0
10:22,1,THUNDER,Wallace REBOUND,Wallace REBOUND (Off:1 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
10:08,1,THUNDER,Hartenstein,Hartenstein 12' Floating Jump Shot (4 PTS) (Gilgeous-Alexander 2 AST),12,Floating Jump Shot,Gilgeous-Alexander,2,0,1,0,0,0,0
09:53,1,SPURS,Castle,Castle 12' Pullup Jump Shot (2 PTS) (Wembanyama 1 AST),12,Pullup Jump Shot,Wembanyama,2,0,1,0,0,0,0
09:36,1,THUNDER,Hartenstein,Hartenstein 14' Floating Jump Shot (6 PTS) (Holmgren 1 AST),14,Floating Jump Shot,Holmgren,2,0,1,0,0,0,0
09:28,1,SPURS,Vassell,MISS Vassell 10' Step Back Jump Shot,10,Step Back Jump Shot,NA,0,0,0,0,0,0,0
09:26,1,THUNDER,Hartenstein REBOUND,Hartenstein REBOUND (Off:0 Def:2),NA,REBOUND,NA,0,1,0,0,0,0,0
09:21,1,SPURS,Champagnie,Champagnie P.FOUL (P1.T1) (N.Buchert),NA,FOUL,NA,0,0,0,0,0,0,1
09:11,1,THUNDER,Wallace,MISS Wallace 3PT Jump Shot,NA,3PT Jump Shot,NA,0,0,0,0,0,0,0
09:08,1,SPURS,SPURS Rebound,SPURS Rebound,NA,REBOUND,NA,0,1,0,0,0,0,0
09:08,1,THUNDER,Hartenstein,Hartenstein L.B.FOUL (P1.T1) (S.Foster),NA,FOUL,NA,0,0,0,0,0,0,1
08:58,1,SPURS,Wembanyama,Wembanyama 1' Alley Oop Dunk (5 PTS) (Castle 1 AST),1,Alley Oop Dunk,Castle,2,0,1,0,0,0,0
08:31,1,THUNDER,Hartenstein,Hartenstein 9' Floating Jump Shot (8 PTS) (Gilgeous-Alexander 3 AST),9,Floating Jump Shot,Gilgeous-Alexander,2,0,1,0,0,0,0
08:20,1,SPURS,Champagnie,MISS Champagnie 25' 3PT Jump Shot,25,3PT Jump Shot,NA,0,0,0,0,0,0,0
08:16,1,THUNDER,Dort REBOUND,Dort REBOUND (Off:1 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
08:04,1,THUNDER,Hartenstein,MISS Hartenstein 10' Floating Jump Shot,10,Floating Jump Shot,NA,0,0,0,0,0,0,0
08:02,1,SPURS,Fox REBOUND,Fox REBOUND (Off:1 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
07:49,1,SPURS,Champagnie,Champagnie 1' Driving Layup (2 PTS) (Wembanyama 2 AST),1,Driving Layup,Wembanyama,2,0,1,0,0,0,0
07:34,1,THUNDER,Hartenstein,MISS Hartenstein 10' Floating Jump Shot,10,Floating Jump Shot,NA,0,0,0,0,0,0,0
07:32,1,SPURS,Fox REBOUND,Fox REBOUND (Off:1 Def:2),NA,REBOUND,NA,0,1,0,0,0,0,0
07:26,1,THUNDER,Holmgren,Holmgren S.FOUL (P1.T2) (C.Blair),NA,FOUL,NA,0,0,0,0,0,0,1
07:26,1,SPURS,Wembanyama Free Throw,Wembanyama Free Throw 1 of 2 (6 PTS),NA,Free Throw 1 of 2,NA,1,0,0,0,0,0,0
07:26,1,SPURS,Harper,SUB: Harper FOR Champagnie,NA,SUB,NA,0,0,0,0,0,0,0
07:26,1,SPURS,Johnson,SUB: Johnson FOR Fox,NA,SUB,NA,0,0,0,0,0,0,0
07:26,1,THUNDER,J Williams,SUB: J. Williams FOR Holmgren,NA,SUB,NA,0,0,0,0,0,0,0
07:26,1,THUNDER,Caruso,SUB: Caruso FOR Hartenstein,NA,SUB,NA,0,0,0,0,0,0,0
07:26,1,THUNDER,McCain,SUB: McCain FOR Wallace,NA,SUB,NA,0,0,0,0,0,0,0
07:26,1,SPURS,Wembanyama Free Throw,Wembanyama Free Throw 2 of 2 (7 PTS),NA,Free Throw 2 of 2,NA,1,0,0,0,0,0,0
07:00,1,THUNDER,McCain,MISS McCain 3PT Jump Shot,NA,3PT Jump Shot,NA,0,0,0,0,0,0,0
06:58,1,SPURS,Wembanyama REBOUND,Wembanyama REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
06:52,1,SPURS,Johnson,Johnson 5' Running Pull-Up Jump Shot (2 PTS) (Wembanyama 3 AST),5,Running Pull-Up Jump Shot,Wembanyama,2,0,1,0,0,0,0
06:30,1,THUNDER,Gilgeous-Alexander,MISS Gilgeous-Alexander 12' Driving Floating Jump Shot,12,Driving Floating Jump Shot,NA,0,0,0,0,0,0,0
06:29,1,SPURS,Johnson REBOUND,Johnson REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
