time,quarter,team,player,play,distance,result,assist,points,rebounds,assists,steals,blocks,turnovers,fouls
12:00,1,THUNDER,Holmgren,Jump Ball Holmgren vs. Wembanyama: Tip to Castle,NA,Jump Ball Holmgren vs. Wembanyama: Tip to Castle,NA,0,0,0,0,0,0,0
11:39,1,SPURS,Wembanyama,Wembanyama 12' Step Back Bank Jump Shot (2 PTS),12,Step Back Bank Jump Shot,NA,2,0,0,0,0,0,0
11:21,1,THUNDER,Holmgren Lost Ball Turnover,Holmgren Lost Ball Turnover (P1.T1),NA,TURNOVER,NA,0,0,0,0,0,1,0
11:21,1,SPURS,Vassell STEAL,Vassell STEAL (1 STL),NA,STEAL,NA,0,0,0,1,0,0,0
11:17,1,THUNDER,Dort,Dort P.FOUL (P1.T1) (J.Tiven),NA,FOUL,NA,0,0,0,0,0,0,1
10:59,1,SPURS,Vassell,Vassell 14' Step Back Jump Shot (2 PTS),14,Step Back Jump Shot,NA,2,0,0,0,0,0,0
10:41,1,THUNDER,Holmgren,Holmgren 12' Step Back Jump Shot (2 PTS) (Wallace 1 AST),12,Step Back Jump Shot,Wallace,2,0,1,0,0,0,0
10:33,1,SPURS,Castle,Castle 1' Driving Layup (2 PTS),1,Driving Layup,NA,2,0,0,0,0,0,0
10:12,1,THUNDER,Gilgeous-Alexander,Gilgeous-Alexander 19' Turnaround Fadeaway (2 PTS),19,Turnaround Fadeaway,NA,2,0,0,0,0,0,0
09:55,1,SPURS,Castle,Castle 1' Layup (4 PTS) (Wembanyama 1 AST),1,Layup,Wembanyama,2,0,1,0,0,0,0
09:39,1,THUNDER,Holmgren,MISS Holmgren 8' Driving Floating Jump Shot,8,Driving Floating Jump Shot,NA,0,0,0,0,0,0,0
09:36,1,THUNDER,Wallace REBOUND,Wallace REBOUND (Off:1 Def:0),NA,REBOUND,NA,0,1,0,0,0,0,0
09:30,1,THUNDER,Dort,MISS Dort 25' 3PT Pullup Jump Shot,25,3PT Pullup Jump Shot,NA,0,0,0,0,0,0,0
09:29,1,SPURS,Rebound,Spurs Rebound,NA,REBOUND,NA,0,1,0,0,0,0,0
09:11,1,SPURS,Wembanyama,Wembanyama 2' Cutting Dunk Shot (4 PTS) (Fox 1 AST),2,Cutting Dunk Shot,Fox,2,0,1,0,0,0,0
08:52,1,THUNDER,Dort,MISS Dort 26' 3PT Jump Shot,26,3PT Jump Shot,NA,0,0,0,0,0,0,0
08:48,1,SPURS,Wembanyama REBOUND,Wembanyama REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
08:42,1,SPURS,Vassell,MISS Vassell 3PT Jump Shot,NA,3PT Jump Shot,NA,0,0,0,0,0,0,0
08:38,1,THUNDER,Gilgeous-Alexander REBOUND,Gilgeous-Alexander REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
08:26,1,THUNDER,Hartenstein Lost Ball Turnover,Hartenstein Lost Ball Turnover (P1.T2),NA,TURNOVER,NA,0,0,0,0,0,1,0
08:26,1,SPURS,Wembanyama STEAL,Wembanyama STEAL (1 STL),NA,STEAL,NA,0,0,0,1,0,0,0
08:21,1,THUNDER,Wallace,Wallace P.FOUL (P1.T2) (J.Goble),NA,FOUL,NA,0,0,0,0,0,0,1
08:21,1,THUNDER,Caruso,SUB: Caruso FOR Dort,NA,SUB,NA,0,0,0,0,0,0,0
08:12,1,SPURS,Castle,MISS Castle 13' Pullup Jump Shot,13,Pullup Jump Shot,NA,0,0,0,0,0,0,0
08:10,1,THUNDER,Hartenstein REBOUND,Hartenstein REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
07:57,1,THUNDER,Hartenstein,Hartenstein 9' Floating Jump Shot (2 PTS) (Gilgeous-Alexander 1 AST),9,Floating Jump Shot,Gilgeous-Alexander,2,0,1,0,0,0,0
07:36,1,SPURS,Fox,Fox 25' 3PT Pullup Jump Shot (3 PTS),25,3PT Pullup Jump Shot,NA,3,0,0,0,0,0,0
07:21,1,THUNDER,Gilgeous-Alexander Bad Pass Turnover,Gilgeous-Alexander Bad Pass Turnover (P1.T3),NA,TURNOVER,NA,0,0,0,0,0,1,0
07:21,1,SPURS,Fox STEAL,Fox STEAL (1 STL),NA,STEAL,NA,0,0,0,1,0,0,0
