time,quarter,team,player,play,distance,result,assist,points,rebounds,assists,steals,blocks,turnovers,fouls
12:00,1,SIXERS,Embiid,Jump Ball Embiid vs. Towns: Tip to Maxey,NA,Jump Ball Embiid vs. Towns: Tip to Maxey,NA,0,0,0,0,0,0,0
11:39,1,SIXERS,Maxey,Maxey 3' Driving Finger Roll Layup (2 PTS) (Edgecombe 1 AST),3,Driving Finger Roll Layup,Edgecombe,2,0,1,0,0,0,0
11:18,1,KNICKS,Bridges,Bridges 1' Driving Finger Roll Layup (2 PTS),1,Driving Finger Roll Layup,NA,2,0,0,0,0,0,0
11:05,1,SIXERS,Edgecombe,MISS Edgecombe 27' 3PT Jump Shot,27,3PT Jump Shot,NA,0,0,0,0,0,0,0
11:03,1,KNICKS,Towns,Towns REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
10:43,1,SIXERS,George,George P.FOUL (P1.T1) (J.Goble),NA,FOUL,NA,0,0,0,0,0,0,1
10:39,1,KNICKS,Brunson,Brunson 28' 3PT Jump Shot (3 PTS) (Towns 1 AST),28,3PT Jump Shot,Towns,3,0,1,0,0,0,0
10:26,1,SIXERS,George,MISS George 26' 3PT Jump Shot,26,3PT Jump Shot,NA,0,0,0,0,0,0,0
10:23,1,KNICKS,Brunson,Brunson REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
10:10,1,SIXERS,Embiid,Embiid P.FOUL (P1.T2) (S.Wright),NA,FOUL,NA,0,0,0,0,0,0,1
09:56,1,KNICKS,Bridges,MISS Bridges 15' Step Back Jump Shot,15,Step Back Jump Shot,NA,0,0,0,0,0,0,0
09:54,1,SIXERS,Oubre,Oubre Jr. REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
09:47,1,SIXERS,Maxey,Maxey 6' Driving Floating Jump Shot (4 PTS),6,Driving Floating Jump Shot,NA,2,0,0,0,0,0,0
09:29,1,KNICKS,Hart,Hart 28' 3PT Pullup Jump Shot (3 PTS) (Towns 2 AST),28,3PT Pullup Jump Shot,Towns,3,0,1,0,0,0,0
09:14,1,SIXERS,Oubre,MISS Oubre Jr. 27' 3PT Jump Shot,27,Jr. 27' 3PT Jump Shot,NA,0,0,0,0,0,0,0
09:12,1,SIXERS,Edgecombe,Edgecombe REBOUND (Off:1 Def:0),NA,REBOUND,NA,0,1,0,0,0,0,0
09:12,1,SIXERS,Edgecombe Putback Layup,MISS Edgecombe Putback Layup,NA,Putback Layup,NA,0,0,0,0,0,0,0
09:12,1,KNICKS,Towns,Towns BLOCK (1 BLK),NA,BLOCK,NA,0,0,0,0,1,0,0
09:10,1,KNICKS,Brunson,Brunson REBOUND (Off:0 Def:2),NA,REBOUND,NA,0,1,0,0,0,0,0
09:06,1,KNICKS,Brunson,MISS Brunson 29' 3PT Running Pull-Up Jump Shot,29,3PT Running Pull-Up Jump Shot,NA,0,0,0,0,0,0,0
09:04,1,SIXERS,Maxey,Maxey REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
08:57,1,SIXERS,Maxey,MISS Maxey 27' 3PT Running Pull-Up Jump Shot,27,3PT Running Pull-Up Jump Shot,NA,0,0,0,0,0,0,0
08:57,1,SIXERS,76ERS,76ERS Rebound,NA,REBOUND,NA,0,1,0,0,0,0,0
08:53,1,SIXERS,Maxey,MISS Maxey 27' 3PT Jump Shot,27,3PT Jump Shot,NA,0,0,0,0,0,0,0
08:50,1,KNICKS,Hart,Hart REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
08:47,1,SIXERS,Maxey,Maxey P.FOUL (P1.T3) (J.Goble),NA,FOUL,NA,0,0,0,0,0,0,1
08:38,1,KNICKS,Brunson,MISS Brunson 4' Driving Floating Jump Shot,4,Driving Floating Jump Shot,NA,0,0,0,0,0,0,0
08:36,1,SIXERS,Oubre,Oubre Jr. REBOUND (Off:0 Def:2),NA,REBOUND,NA,0,1,0,0,0,0,0
08:28,1,SIXERS,Edgecombe,MISS Edgecombe 3PT Jump Shot,NA,3PT Jump Shot,NA,0,0,0,0,0,0,0
08:25,1,KNICKS,McBride,McBride REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
08:21,1,KNICKS,McBride,McBride 26' 3PT Running Jump Shot (3 PTS) (Hart 1 AST),26,3PT Running Jump Shot,Hart,3,0,1,0,0,0,0
