time,quarter,team,player,play,distance,result,assist,points,rebounds,assists,steals,blocks,turnovers,fouls
12:00,1,SPURS,Wembanyama,Jump Ball Wembanyama vs. Towns: Tip to Fox,NA,Jump Ball Wembanyama vs. Towns: Tip to Fox,NA,0,0,0,0,0,0,0
11:36,1,SPURS,Vassell,Vassell 25' 3PT Jump Shot (3 PTS) (Castle 1 AST),25,3PT Jump Shot,Castle,3,0,1,0,0,0,0
11:08,1,KNICKS,Brunson,Brunson 20' Step Back Jump Shot (2 PTS),20,Step Back Jump Shot,NA,2,0,0,0,0,0,0
10:55,1,KNICKS,Bridges,Bridges S.FOUL (P1.T1) (T.Ford),NA,FOUL,NA,0,0,0,0,0,0,1
10:55,1,SPURS,Champagnie Free Throw,Champagnie Free Throw 1 of 2 (1 PTS),NA,Free Throw 1 of 2,NA,1,0,0,0,0,0,0
10:55,1,SPURS,Champagnie Free Throw,Champagnie Free Throw 2 of 2 (2 PTS),NA,Free Throw 2 of 2,NA,1,0,0,0,0,0,0
10:36,1,KNICKS,Bridges,MISS Bridges 8' Driving Floating Jump Shot,8,Driving Floating Jump Shot,NA,0,0,0,0,0,0,0
10:34,1,SPURS,Wembanyama,Wembanyama REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
10:28,1,SPURS,Fox,MISS Fox 7' Running Pull-Up Jump Shot,7,Running Pull-Up Jump Shot,NA,0,0,0,0,0,0,0
10:26,1,KNICKS,Towns,Towns REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
10:18,1,SPURS,Castle,Castle S.FOUL (P1.T1) (T.Brothers),NA,FOUL,NA,0,0,0,0,0,0,1
10:18,1,KNICKS,Brunson Free Throw,Brunson Free Throw 1 of 3 (3 PTS),NA,Free Throw 1 of 3,NA,1,0,0,0,0,0,0
10:18,1,KNICKS,Brunson Free Throw,Brunson Free Throw 2 of 3 (4 PTS),NA,Free Throw 2 of 3,NA,1,0,0,0,0,0,0
10:18,1,KNICKS,Brunson Free Throw,Brunson Free Throw 3 of 3 (5 PTS),NA,Free Throw 3 of 3,NA,1,0,0,0,0,0,0
10:12,1,KNICKS,Brunson,Brunson P.FOUL (P1.T2) (T.Ford),NA,FOUL,NA,0,0,0,0,0,0,1
09:59,1,SPURS,Champagnie,Champagnie 25' 3PT Jump Shot (5 PTS) (Vassell 1 AST),25,3PT Jump Shot,Vassell,3,0,1,0,0,0,0
09:45,1,KNICKS,Brunson,MISS Brunson 6' Pullup Jump Shot,6,Pullup Jump Shot,NA,0,0,0,0,0,0,0
09:45,1,SPURS,Fox,Fox BLOCK (1 BLK),NA,BLOCK,NA,0,0,0,0,1,0,0
09:45,1,SPURS,Castle,Castle REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
09:45,1,KNICKS,Hart,Hart P.FOUL (P1.T3) (T.Ford),NA,FOUL,NA,0,0,0,0,0,0,1
09:34,1,SPURS,Castle,Castle 4' Driving Floating Bank Jump Shot (2 PTS),4,Driving Floating Bank Jump Shot,NA,2,0,0,0,0,0,0
09:20,1,KNICKS,Anunoby,Anunoby 2' Driving Reverse Layup (2 PTS) (Towns 1 AST),2,Driving Reverse Layup,Towns,2,0,1,0,0,0,0
09:00,1,SPURS,Champagnie,Champagnie 3PT Fadeaway Bank Shot (8 PTS),NA,3PT Fadeaway Bank Shot,NA,3,0,0,0,0,0,0
08:41,1,KNICKS,Anunoby,Anunoby 3PT Pullup Jump Shot (5 PTS) (Brunson 1 AST),NA,3PT Pullup Jump Shot,Brunson,3,0,1,0,0,0,0
08:25,1,SPURS,Castle,MISS Castle 25' 3PT Jump Shot,25,3PT Jump Shot,NA,0,0,0,0,0,0,0
08:21,1,KNICKS,Bridges,Bridges REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
08:13,1,KNICKS,Brunson,MISS Brunson 3' Driving Finger Roll Layup,3,Driving Finger Roll Layup,NA,0,0,0,0,0,0,0
08:11,1,SPURS,Vassell,Vassell REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
08:06,1,SPURS,Castle,MISS Castle 6' Running Layup,6,Running Layup,NA,0,0,0,0,0,0,0
08:04,1,KNICKS,Anunoby,Anunoby REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
08:02,1,KNICKS,Brunson,MISS Brunson 4' Running Layup,4,Running Layup,NA,0,0,0,0,0,0,0
08:02,1,SPURS,Vassell,Vassell BLOCK (1 BLK),NA,BLOCK,NA,0,0,0,0,1,0,0
08:02,1,KNICKS,Knicks,Knicks Rebound,NA,REBOUND,NA,0,1,0,0,0,0,0
08:02,1,SPURS,Harper,SUB: Harper FOR Fox,NA,SUB,NA,0,0,0,0,0,0,0
08:02,1,SPURS,Johnson,SUB: Johnson FOR Vassell,NA,SUB,NA,0,0,0,0,0,0,0
07:59,1,KNICKS,Hart Step Out,Hart Step Out of Bounds Turnover (P1.T1),NA,TURNOVER,NA,0,0,0,0,0,1,0
07:42,1,SPURS,Wembanyama Cutting Dunk Shot,Wembanyama Cutting Dunk Shot (2 PTS) (Johnson 1 AST),NA,Cutting Dunk Shot,Johnson,2,0,1,0,0,0,0
07:29,1,KNICKS,Hart,MISS Hart 3PT Jump Shot,NA,3PT Jump Shot,NA,0,0,0,0,0,0,0
07:26,1,SPURS,Champagnie,Champagnie REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
07:20,1,SPURS,Castle,MISS Castle 2' Running Reverse Layup,2,Running Reverse Layup,NA,0,0,0,0,0,0,0
07:18,1,KNICKS,Brunson,Brunson REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
07:16,1,KNICKS,Brunson,Brunson 26' 3PT Running Pull-Up Jump Shot (8 PTS),26,3PT Running Pull-Up Jump Shot,NA,3,0,0,0,0,0,0
06:56,1,SPURS,Harper,Harper 1' Driving Finger Roll Layup (2 PTS) (Champagnie 1 AST),1,Driving Finger Roll Layup,Champagnie,2,0,1,0,0,0,0
06:32,1,KNICKS,Towns,MISS Towns 27' 3PT Jump Shot,27,3PT Jump Shot,NA,0,0,0,0,0,0,0
06:28,1,SPURS,Johnson,Johnson REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
06:20,1,SPURS,Wembanyama,MISS Wembanyama 25' 3PT Jump Shot,25,3PT Jump Shot,NA,0,0,0,0,0,0,0
06:17,1,KNICKS,Hart,Hart REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
05:54,1,KNICKS,Hart,MISS Hart 9' Driving Floating Jump Shot,9,Driving Floating Jump Shot,NA,0,0,0,0,0,0,0
05:50,1,SPURS,Harper,Harper REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
05:46,1,KNICKS,Hart,Hart S.FOUL (P2.T4) (T.Brothers),NA,FOUL,NA,0,0,0,0,0,0,1
05:46,1,SPURS,SPURS Timeout,SPURS Timeout: Regular (Full 1 Short 0),NA,TIMEOUT,NA,0,0,0,0,0,0,0
05:46,1,SPURS,Kornet,SUB: Kornet FOR Wembanyama,NA,SUB,NA,0,0,0,0,0,0,0
05:46,1,SPURS,Vassell,SUB: Vassell FOR Johnson,NA,SUB,NA,0,0,0,0,0,0,0
05:46,1,KNICKS,McBride,SUB: McBride FOR Hart,NA,SUB,NA,0,0,0,0,0,0,0
05:46,1,KNICKS,Shamet,SUB: Shamet FOR Anunoby,NA,SUB,NA,0,0,0,0,0,0,0
05:46,1,SPURS,Castle Free Throw,MISS Castle Free Throw 1 of 2,NA,Free Throw 1 of 2,NA,0,0,0,0,0,0,0
05:46,1,SPURS,SPURS,SPURS Rebound,NA,REBOUND,NA,0,1,0,0,0,0,0
05:46,1,SPURS,Castle Free Throw,MISS Castle Free Throw 2 of 2,NA,Free Throw 2 of 2,NA,0,0,0,0,0,0,0
05:46,1,SPURS,SPURS,SPURS Rebound,NA,REBOUND,NA,0,1,0,0,0,0,0
05:45,1,KNICKS,Towns,Towns P.FOUL (P1.PN) (J.Tiven),NA,FOUL,NA,0,0,0,0,0,0,1
05:45,1,SPURS,Kornet Free Throw,Kornet Free Throw 1 of 2 (1 PTS),NA,Free Throw 1 of 2,NA,1,0,0,0,0,0,0
05:45,1,SPURS,Kornet Free Throw,MISS Kornet Free Throw 2 of 2,NA,Free Throw 2 of 2,NA,0,0,0,0,0,0,0
05:41,1,KNICKS,Towns,Towns REBOUND (Off:0 Def:2),NA,REBOUND,NA,0,1,0,0,0,0,0
05:38,1,KNICKS,Shamet,MISS Shamet 2' Running Layup,2,Running Layup,NA,0,0,0,0,0,0,0
05:36,1,SPURS,Champagnie,Champagnie REBOUND (Off:0 Def:2),NA,REBOUND,NA,0,1,0,0,0,0,0
05:27,1,SPURS,Harper,Harper 1' Driving Dunk (4 PTS) (Castle 2 AST),1,Driving Dunk,Castle,2,0,1,0,0,0,0
05:18,1,SPURS,Vassell,Vassell P.FOUL (P1.T2) (T.Brothers),NA,FOUL,NA,0,0,0,0,0,0,1
05:11,1,KNICKS,Towns,Towns 27' 3PT Jump Shot (3 PTS) (Bridges 1 AST),27,3PT Jump Shot,Bridges,3,0,1,0,0,0,0
05:00,1,SPURS,Harper,MISS Harper 25' 3PT Jump Shot,25,3PT Jump Shot,NA,0,0,0,0,0,0,0
04:57,1,KNICKS,Towns,Towns REBOUND (Off:0 Def:3),NA,REBOUND,NA,0,1,0,0,0,0,0
04:49,1,KNICKS,Shamet,MISS Shamet 25' 3PT Step Back Jump Shot,25,3PT Step Back Jump Shot,NA,0,0,0,0,0,0,0
04:49,1,KNICKS,Knicks,Knicks Rebound,NA,REBOUND,NA,0,1,0,0,0,0,0
04:49,1,SPURS,Harper,Harper L.B.FOUL (P1.T3) (T.Ford),NA,FOUL,NA,0,0,0,0,0,0,1
04:49,1,SPURS,Fox,SUB: Fox FOR Castle,NA,SUB,NA,0,0,0,0,0,0,0
04:49,1,SPURS,Bryant,SUB: Bryant FOR Champagnie,NA,SUB,NA,0,0,0,0,0,0,0
04:41,1,KNICKS,Brunson Step Out,Brunson Step Out of Bounds Turnover (P1.T2),NA,TURNOVER,NA,0,0,0,0,0,1,0
04:30,1,SPURS,Bryant Bad Pass Turnover,Bryant Bad Pass Turnover (P1.T1),NA,TURNOVER,NA,0,0,0,0,0,1,0
04:30,1,KNICKS,Towns,Towns STEAL (1 STL),NA,STEAL,NA,0,0,0,1,0,0,0
04:16,1,KNICKS,Towns,Towns 2' Driving Layup (5 PTS),2,Driving Layup,NA,2,0,0,0,0,0,0
04:05,1,SPURS,Vassell,MISS Vassell 25' 3PT Jump Shot,25,3PT Jump Shot,NA,0,0,0,0,0,0,0
04:02,1,KNICKS,Bridges,Bridges REBOUND (Off:0 Def:2),NA,REBOUND,NA,0,1,0,0,0,0,0
03:55,1,SPURS,Kornet,Kornet P.FOUL (P1.T4) (T.Ford),NA,FOUL,NA,0,0,0,0,0,0,1
03:55,1,KNICKS,Anunoby,SUB: Anunoby FOR Bridges,NA,SUB,NA,0,0,0,0,0,0,0
03:55,1,KNICKS,Robinson,SUB: Robinson FOR Towns,NA,SUB,NA,0,0,0,0,0,0,0
