time,quarter,team,player,play,distance,result,assist,points,rebounds,assists,steals,blocks,turnovers,fouls
12:00,1,KNICKS,Towns,Jump Ball Towns vs. Allen: Tip to Hart,NA,Jump Ball Towns vs. Allen: Tip to Hart,NA,0,0,0,0,0,0,0
11:43,1,KNICKS,Brunson,Brunson 3' Driving Floating Jump Shot (2 PTS),3,Driving Floating Jump Shot,NA,2,0,0,0,0,0,0
11:39,1,CAVALIERS,Wade Bad Pass Turnover,Wade Bad Pass Turnover (P1.T1),NA,TURNOVER,NA,0,0,0,0,0,1,0
11:39,1,KNICKS,Bridges,Bridges STEAL (1 STL),NA,STEAL,NA,0,0,0,1,0,0,0
11:25,1,KNICKS,Towns,Towns 27' 3PT Jump Shot (3 PTS) (Anunoby 1 AST),27,3PT Jump Shot,Anunoby,3,0,1,0,0,0,0
11:04,1,CAVALIERS,Mobley,Mobley 25' 3PT Jump Shot (3 PTS) (Wade 1 AST),25,3PT Jump Shot,Wade,3,0,1,0,0,0,0
10:47,1,CAVALIERS,Wade,Wade P.FOUL (P1.T1) (S.Wright),NA,FOUL,NA,0,0,0,0,0,0,1
10:36,1,KNICKS,Hart,MISS Hart 3PT Jump Shot,NA,3PT Jump Shot,NA,0,0,0,0,0,0,0
10:33,1,CAVALIERS,Mobley,Mobley REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
10:26,1,CAVALIERS,Mobley,MISS Mobley 6' Driving Hook Shot,6,Driving Hook Shot,NA,0,0,0,0,0,0,0
10:25,1,CAVALIERS,Allen,Allen REBOUND (Off:1 Def:0),NA,REBOUND,NA,0,1,0,0,0,0,0
10:24,1,CAVALIERS,Allen Tip Layup Shot,Allen Tip Layup Shot (2 PTS),NA,Tip Layup Shot,NA,2,0,0,0,0,0,0
09:58,1,KNICKS,Anunoby,MISS Anunoby 3PT Jump Shot,NA,3PT Jump Shot,NA,0,0,0,0,0,0,0
09:57,1,KNICKS,KNICKS,KNICKS Rebound,NA,REBOUND,NA,0,1,0,0,0,0,0
09:57,1,KNICKS,KNICKS,KNICKS Turnover: Shot Clock (T#1),NA,TURNOVER,NA,0,0,0,0,0,1,0
09:44,1,CAVALIERS,Mobley,Mobley 25' 3PT Jump Shot (6 PTS) (Harden 1 AST),25,3PT Jump Shot,Harden,3,0,1,0,0,0,0
09:22,1,KNICKS,Hart,Hart 1' Driving Reverse Layup (2 PTS) (Towns 1 AST),1,Driving Reverse Layup,Towns,2,0,1,0,0,0,0
09:11,1,CAVALIERS,Allen,Allen 2' Layup (4 PTS) (Mitchell 1 AST),2,Layup,Mitchell,2,0,1,0,0,0,0
08:56,1,KNICKS,Brunson,MISS Brunson 25' 3PT Jump Shot,25,3PT Jump Shot,NA,0,0,0,0,0,0,0
08:54,1,CAVALIERS,Allen,Allen REBOUND (Off:1 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
