time,quarter,team,player,play,distance,result,assist,points,rebounds,assists,steals,blocks,turnovers,fouls
12:00,1,THUNDER,Holmgren,Jump Ball Holmgren vs. Wembanyama: Tip to Champagnie,NA,Jump Ball Holmgren vs. Wembanyama: Tip to Champagnie,NA,0,0,0,0,0,0,0
11:47,1,SPURS,Fox,MISS Fox 26' 3PT Jump Shot,26,3PT Jump Shot,NA,0,0,0,0,0,0,0
11:43,1,THUNDER,Holmgren REBOUND,Holmgren REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
11:25,1,THUNDER,McCain Bad Pass Turnover,McCain Bad Pass Turnover (P1.T1),NA,TURNOVER,NA,0,0,0,0,0,1,0
11:25,1,SPURS,Fox STEAL,Fox STEAL (1 STL),NA,STEAL,NA,0,0,0,1,0,0,0
11:21,1,SPURS,Champagnie,MISS Champagnie 25' 3PT Running Jump Shot,25,3PT Running Jump Shot,NA,0,0,0,0,0,0,0
11:18,1,SPURS,Fox REBOUND,Fox REBOUND (Off:1 Def:0),NA,REBOUND,NA,0,1,0,0,0,0,0
11:07,1,SPURS,Castle Lost Ball Turnover,Castle Lost Ball Turnover (P1.T1),NA,TURNOVER,NA,0,0,0,0,0,1,0
11:07,1,THUNDER,Gilgeous-Alexander STEAL,Gilgeous-Alexander STEAL (1 STL),NA,STEAL,NA,0,0,0,1,0,0,0
10:59,1,THUNDER,Dort,MISS Dort 3PT Jump Shot,NA,3PT Jump Shot,NA,0,0,0,0,0,0,0
10:56,1,THUNDER,Holmgren REBOUND,Holmgren REBOUND (Off:1 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
10:54,1,THUNDER,Holmgren,Holmgren 8' Turnaround Jump Shot (2 PTS),8,Turnaround Jump Shot,NA,2,0,0,0,0,0,0
10:47,1,SPURS,Vassell,MISS Vassell 26' 3PT Jump Shot,26,3PT Jump Shot,NA,0,0,0,0,0,0,0
10:45,1,THUNDER,McCain REBOUND,McCain REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
10:33,1,THUNDER,McCain,MISS McCain 14' Step Back Jump Shot,14,Step Back Jump Shot,NA,0,0,0,0,0,0,0
10:29,1,SPURS,Champagnie REBOUND,Champagnie REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
10:23,1,SPURS,Fox,MISS Fox 1' Running Layup,1,Running Layup,NA,0,0,0,0,0,0,0
10:21,1,THUNDER,Holmgren REBOUND,Holmgren REBOUND (Off:1 Def:2),NA,REBOUND,NA,0,1,0,0,0,0,0
10:18,1,THUNDER,Holmgren Lost Ball Turnover,Holmgren Lost Ball Turnover (P1.T2),NA,TURNOVER,NA,0,0,0,0,0,1,0
10:18,1,SPURS,Fox STEAL,Fox STEAL (2 STL),NA,STEAL,NA,0,0,0,1,0,0,0
10:13,1,SPURS,Vassell Bad Pass Turnover,Vassell Bad Pass Turnover (P1.T2),NA,TURNOVER,NA,0,0,0,0,0,1,0
10:13,1,THUNDER,Gilgeous-Alexander STEAL,Gilgeous-Alexander STEAL (2 STL),NA,STEAL,NA,0,0,0,1,0,0,0
10:06,1,THUNDER,Dort,MISS Dort 24' 3PT Jump Shot,24,3PT Jump Shot,NA,0,0,0,0,0,0,0
10:00,1,SPURS,Fox REBOUND,Fox REBOUND (Off:1 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
09:56,1,SPURS,Castle,Castle 26' 3PT Pullup Jump Shot (3 PTS) (Fox 1 AST),26,3PT Pullup Jump Shot,Fox,3,0,1,0,0,0,0
09:38,1,THUNDER,Holmgren,Holmgren 14' Turnaround Jump Shot (4 PTS),14,Turnaround Jump Shot,NA,2,0,0,0,0,0,0
09:30,1,SPURS,Fox,Fox 6' Driving Floating Bank Jump Shot (2 PTS) (Castle 1 AST),6,Driving Floating Bank Jump Shot,Castle,2,0,1,0,0,0,0
09:18,1,THUNDER,Gilgeous-Alexander Bad Pass Turnover,Gilgeous-Alexander Bad Pass Turnover (P1.T3),NA,TURNOVER,NA,0,0,0,0,0,1,0
09:18,1,SPURS,Champagnie STEAL,Champagnie STEAL (1 STL),NA,STEAL,NA,0,0,0,1,0,0,0
09:14,1,SPURS,Wembanyama Bad Pass Turnover,Wembanyama Bad Pass Turnover (P1.T3),NA,TURNOVER,NA,0,0,0,0,0,1,0
09:14,1,THUNDER,Holmgren STEAL,Holmgren STEAL (1 STL),NA,STEAL,NA,0,0,0,1,0,0,0
09:03,1,THUNDER,Gilgeous-Alexander,MISS Gilgeous-Alexander 14' Jump Shot,14,Jump Shot,NA,0,0,0,0,0,0,0
08:59,1,SPURS,Wembanyama REBOUND,Wembanyama REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
08:54,1,SPURS,Fox,MISS Fox 26' 3PT Running Jump Shot,26,3PT Running Jump Shot,NA,0,0,0,0,0,0,0
08:51,1,THUNDER,Dort REBOUND,Dort REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
08:39,1,THUNDER,Hartenstein,Hartenstein 1' Cutting Dunk Shot (2 PTS) (Gilgeous-Alexander 1 AST),1,Cutting Dunk Shot,Gilgeous-Alexander,2,0,1,0,0,0,0
08:21,1,SPURS,Champagnie,Champagnie 3PT Jump Shot (3 PTS) (Castle 2 AST),NA,3PT Jump Shot,Castle,3,0,1,0,0,0,0
08:02,1,THUNDER,McCain Bad Pass Turnover,McCain Bad Pass Turnover (P2.T4),NA,TURNOVER,NA,0,0,0,0,0,1,0
08:02,1,SPURS,Champagnie STEAL,Champagnie STEAL (2 STL),NA,STEAL,NA,0,0,0,1,0,0,0
07:57,1,SPURS,Champagnie,Champagnie 25' 3PT Running Jump Shot (6 PTS) (Vassell 1 AST),25,3PT Running Jump Shot,Vassell,3,0,1,0,0,0,0
07:56,1,THUNDER,THUNDER Timeout,THUNDER Timeout: Regular (Full 1 Short 0),NA,TIMEOUT,NA,0,0,0,0,0,0,0
07:56,1,THUNDER,J Williams,SUB: J. Williams FOR Hartenstein,NA,SUB,NA,0,0,0,0,0,0,0
07:37,1,THUNDER,Gilgeous-Alexander,MISS Gilgeous-Alexander 2' Driving Finger Roll Layup,2,Driving Finger Roll Layup,NA,0,0,0,0,0,0,0
07:35,1,SPURS,Castle REBOUND,Castle REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
07:17,1,SPURS,Fox,MISS Fox 3' Driving Floating Jump Shot,3,Driving Floating Jump Shot,NA,0,0,0,0,0,0,0
07:16,1,THUNDER,J Williams REBOUND,J. Williams REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
06:55,1,THUNDER,Dort,Dort 1' Driving Layup (2 PTS),1,Driving Layup,NA,2,0,0,0,0,0,0
06:37,1,SPURS,Champagnie,Champagnie 2' Driving Layup (8 PTS) (Castle 3 AST),2,Driving Layup,Castle,2,0,1,0,0,0,0
