time,quarter,team,player,play,distance,result,assist,points,rebounds,assists,steals,blocks,turnovers,fouls
12:00,1,CAVALIERS,Allen,Jump Ball Allen vs. Towns: Tip to Harden,NA,Jump Ball Allen vs. Towns: Tip to Harden,NA,0,0,0,0,0,0,0
11:45,1,CAVALIERS,Mobley,Mobley 3' Driving Floating Bank Jump Shot (2 PTS) (Allen 1 AST),3,Driving Floating Bank Jump Shot,Allen,2,0,1,0,0,0,0
11:24,1,KNICKS,Hart Bad Pass Turnover,Hart Bad Pass Turnover (P1.T1),NA,TURNOVER,NA,0,0,0,0,0,1,0
11:24,1,CAVALIERS,Allen,Allen STEAL (1 STL),NA,STEAL,NA,0,0,0,1,0,0,0
11:17,1,CAVALIERS,Mitchell,Mitchell 26' 3PT Running Jump Shot (3 PTS) (Strus 1 AST),26,3PT Running Jump Shot,Strus,3,0,1,0,0,0,0
11:06,1,KNICKS,Bridges,MISS Bridges 8' Pullup Jump Shot,8,Pullup Jump Shot,NA,0,0,0,0,0,0,0
11:02,1,CAVALIERS,Allen,Allen REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
10:58,1,CAVALIERS,Strus Out,Strus Out of Bounds - Bad Pass Turnover Turnover (P1.T1),NA,TURNOVER,NA,0,0,0,0,0,1,0
10:39,1,KNICKS,Bridges,Bridges 12' Floating Jump Shot (2 PTS) (Brunson 1 AST),12,Floating Jump Shot,Brunson,2,0,1,0,0,0,0
10:22,1,CAVALIERS,Mitchell,Mitchell 28' 3PT Pullup Jump Shot (6 PTS),28,3PT Pullup Jump Shot,NA,3,0,0,0,0,0,0
09:56,1,KNICKS,Hart,Hart 3PT Jump Shot (3 PTS) (Brunson 2 AST),NA,3PT Jump Shot,Brunson,3,0,1,0,0,0,0
09:48,1,CAVALIERS,Mitchell,MISS Mitchell 29' 3PT Pullup Jump Shot,29,3PT Pullup Jump Shot,NA,0,0,0,0,0,0,0
09:45,1,KNICKS,Towns,Towns REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
09:37,1,KNICKS,Anunoby,MISS Anunoby 25' 3PT Jump Shot,25,3PT Jump Shot,NA,0,0,0,0,0,0,0
09:34,1,CAVALIERS,Mitchell,Mitchell REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
09:25,1,CAVALIERS,Strus,MISS Strus 24' 3PT Jump Shot,24,3PT Jump Shot,NA,0,0,0,0,0,0,0
09:22,1,KNICKS,Towns,Towns REBOUND (Off:0 Def:2),NA,REBOUND,NA,0,1,0,0,0,0,0
09:17,1,KNICKS,Bridges,Bridges 1' Running Alley Oop Layup Shot (4 PTS) (Hart 1 AST),1,Running Alley Oop Layup Shot,Hart,2,0,1,0,0,0,0
09:05,1,CAVALIERS,Mitchell,Mitchell 10' Driving Hook Shot (8 PTS),10,Driving Hook Shot,NA,2,0,0,0,0,0,0
08:43,1,KNICKS,Brunson,Brunson 1' Driving Layup (2 PTS),1,Driving Layup,NA,2,0,0,0,0,0,0
08:33,1,CAVALIERS,Harden,MISS Harden 26' 3PT Step Back Jump Shot,26,3PT Step Back Jump Shot,NA,0,0,0,0,0,0,0
08:31,1,KNICKS,Hart,Hart REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
08:30,1,CAVALIERS,Mitchell,Mitchell S.FOUL (P1.T1) (J.Tiven),NA,FOUL,NA,0,0,0,0,0,0,1
08:30,1,KNICKS,Bridges Free Throw,Bridges Free Throw 1 of 2 (5 PTS),NA,Free Throw 1 of 2,NA,1,0,0,0,0,0,0
08:30,1,KNICKS,Bridges Free Throw,Bridges Free Throw 2 of 2 (6 PTS),NA,Free Throw 2 of 2,NA,1,0,0,0,0,0,0
08:10,1,CAVALIERS,Allen,MISS Allen 1' Cutting Layup Shot,1,Cutting Layup Shot,NA,0,0,0,0,0,0,0
08:10,1,KNICKS,Towns,Towns BLOCK (1 BLK),NA,BLOCK,NA,0,0,0,0,1,0,0
08:07,1,KNICKS,Towns,Towns REBOUND (Off:0 Def:3),NA,REBOUND,NA,0,1,0,0,0,0,0
08:05,1,KNICKS,Bridges,MISS Bridges 25' 3PT Running Jump Shot,25,3PT Running Jump Shot,NA,0,0,0,0,0,0,0
08:00,1,CAVALIERS,Mobley,Mobley REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
07:51,1,CAVALIERS,Mobley,Mobley 26' 3PT Jump Shot (5 PTS) (Mitchell 1 AST),26,3PT Jump Shot,Mitchell,3,0,1,0,0,0,0
07:28,1,KNICKS,Brunson,MISS Brunson 26' 3PT Step Back Jump Shot,26,3PT Step Back Jump Shot,NA,0,0,0,0,0,0,0
07:26,1,KNICKS,Hart,Hart REBOUND (Off:1 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
07:25,1,KNICKS,Towns,Towns 26' 3PT Jump Shot (3 PTS) (Hart 2 AST),26,3PT Jump Shot,Hart,3,0,1,0,0,0,0
07:09,1,KNICKS,Hart,Hart S.FOUL (P1.T1) (J.Tiven),NA,FOUL,NA,0,0,0,0,0,0,1
07:09,1,CAVALIERS,Mitchell Free Throw,Mitchell Free Throw 1 of 2 (9 PTS),NA,Free Throw 1 of 2,NA,1,0,0,0,0,0,0
07:09,1,CAVALIERS,Mitchell Free Throw,Mitchell Free Throw 2 of 2 (10 PTS),NA,Free Throw 2 of 2,NA,1,0,0,0,0,0,0
06:53,1,KNICKS,Brunson,MISS Brunson 25' 3PT Pullup Jump Shot,25,3PT Pullup Jump Shot,NA,0,0,0,0,0,0,0
06:50,1,CAVALIERS,Harden,Harden REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
06:40,1,CAVALIERS,Mitchell,MISS Mitchell 28' 3PT Pullup Jump Shot,28,3PT Pullup Jump Shot,NA,0,0,0,0,0,0,0
06:37,1,CAVALIERS,Mobley,Mobley REBOUND (Off:1 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
06:37,1,CAVALIERS,Mobley Putback Dunk,Mobley Putback Dunk (7 PTS),NA,Putback Dunk,NA,2,0,0,0,0,0,0
06:21,1,KNICKS,Anunoby,MISS Anunoby 3PT Jump Shot,NA,3PT Jump Shot,NA,0,0,0,0,0,0,0
06:20,1,KNICKS,Towns,Towns REBOUND (Off:1 Def:3),NA,REBOUND,NA,0,1,0,0,0,0,0
06:18,1,KNICKS,Towns,MISS Towns 3' Driving Floating Jump Shot,3,Driving Floating Jump Shot,NA,0,0,0,0,0,0,0
06:17,1,CAVALIERS,Mobley,Mobley REBOUND (Off:1 Def:2),NA,REBOUND,NA,0,1,0,0,0,0,0
06:10,1,CAVALIERS,Harden,MISS Harden 25' 3PT Running Jump Shot,25,3PT Running Jump Shot,NA,0,0,0,0,0,0,0
06:07,1,KNICKS,Anunoby,Anunoby REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
06:00,1,KNICKS,Towns,Towns 1' Running Dunk (5 PTS) (Anunoby 1 AST),1,Running Dunk,Anunoby,2,0,1,0,0,0,0
06:00,1,CAVALIERS,CAVALIERS Timeout,CAVALIERS Timeout: Regular (Full 1 Short 0),NA,TIMEOUT,NA,0,0,0,0,0,0,0
06:00,1,CAVALIERS,Wade,SUB: Wade FOR Mitchell,NA,SUB,NA,0,0,0,0,0,0,0
06:00,1,CAVALIERS,Merrill,SUB: Merrill FOR Mobley,NA,SUB,NA,0,0,0,0,0,0,0
05:43,1,CAVALIERS,Strus,MISS Strus 24' 3PT Jump Shot,24,3PT Jump Shot,NA,0,0,0,0,0,0,0
05:40,1,KNICKS,Hart,Hart REBOUND (Off:1 Def:2),NA,REBOUND,NA,0,1,0,0,0,0,0
05:28,1,KNICKS,Brunson,MISS Brunson 1' Driving Finger Roll Layup,1,Driving Finger Roll Layup,NA,0,0,0,0,0,0,0
05:28,1,CAVALIERS,Wade,Wade BLOCK (1 BLK),NA,BLOCK,NA,0,0,0,0,1,0,0
05:28,1,KNICKS,Knicks,Knicks Rebound,NA,REBOUND,NA,0,1,0,0,0,0,0
05:24,1,KNICKS,Towns,Towns 25' 3PT Jump Shot (8 PTS) (Anunoby 2 AST),25,3PT Jump Shot,Anunoby,3,0,1,0,0,0,0
05:08,1,CAVALIERS,Harden,MISS Harden 26' 3PT Step Back Jump Shot,26,3PT Step Back Jump Shot,NA,0,0,0,0,0,0,0
05:06,1,KNICKS,Towns,Towns REBOUND (Off:1 Def:4),NA,REBOUND,NA,0,1,0,0,0,0,0
05:04,1,KNICKS,Brunson,Brunson 1' Running Layup (4 PTS) (Towns 1 AST),1,Running Layup,Towns,2,0,1,0,0,0,0
