time,quarter,team,player,play,distance,result,assist,points,rebounds,assists,steals,blocks,turnovers,fouls
12:00,1,KNICKS,Towns,Jump Ball Towns vs. Allen: Tip to Brunson,NA,Jump Ball Towns vs. Allen: Tip to Brunson,NA,0,0,0,0,0,0,0
11:33,1,KNICKS,Anunoby,MISS Anunoby 25' 3PT Jump Shot,25,3PT Jump Shot,NA,0,0,0,0,0,0,0
11:31,1,CAVALIERS,Mobley,Mobley REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
11:16,1,CAVALIERS,Allen,MISS Allen 2' Cutting Layup Shot,2,Cutting Layup Shot,NA,0,0,0,0,0,0,0
11:14,1,CAVALIERS,Wade,Wade REBOUND (Off:1 Def:0),NA,REBOUND,NA,0,1,0,0,0,0,0
11:10,1,CAVALIERS,Harden,Harden 6' Driving Floating Jump Shot (2 PTS) (Wade 1 AST),6,Driving Floating Jump Shot,Wade,2,0,1,0,0,0,0
10:51,1,KNICKS,Towns,MISS Towns 26' 3PT Step Back Jump Shot,26,3PT Step Back Jump Shot,NA,0,0,0,0,0,0,0
10:48,1,CAVALIERS,Allen,Allen REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
10:41,1,KNICKS,Bridges,Bridges S.FOUL (P1.T1) (S.Foster),NA,FOUL,NA,0,0,0,0,0,0,1
10:41,1,CAVALIERS,Mobley Free Throw,MISS Mobley Free Throw 1 of 2,NA,Free Throw 1 of 2,NA,0,0,0,0,0,0,0
10:41,1,CAVALIERS,Cavaliers,Cavaliers Rebound,NA,REBOUND,NA,0,1,0,0,0,0,0
10:41,1,CAVALIERS,Mobley Free Throw,Mobley Free Throw 2 of 2 (1 PTS),NA,Free Throw 2 of 2,NA,1,0,0,0,0,0,0
10:22,1,KNICKS,Brunson,MISS Brunson 25' 3PT Pullup Jump Shot,25,3PT Pullup Jump Shot,NA,0,0,0,0,0,0,0
10:19,1,CAVALIERS,Mitchell,Mitchell REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
10:12,1,CAVALIERS,Mobley,MISS Mobley 25' 3PT Jump Shot,25,3PT Jump Shot,NA,0,0,0,0,0,0,0
10:09,1,KNICKS,Bridges,Bridges REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
10:01,1,KNICKS,Bridges,Bridges 7' Driving Floating Jump Shot (2 PTS) (Towns 1 AST),7,Driving Floating Jump Shot,Towns,2,0,1,0,0,0,0
09:53,1,CAVALIERS,Mitchell Backcourt Turnover,Mitchell Backcourt Turnover (P1.T1),NA,TURNOVER,NA,0,0,0,0,0,1,0
09:39,1,KNICKS,Brunson,MISS Brunson 3' Driving Finger Roll Layup,3,Driving Finger Roll Layup,NA,0,0,0,0,0,0,0
09:38,1,CAVALIERS,Wade,Wade REBOUND (Off:1 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
09:24,1,CAVALIERS,Mitchell,Mitchell 25' 3PT Pullup Jump Shot (3 PTS) (Wade 2 AST),25,3PT Pullup Jump Shot,Wade,3,0,1,0,0,0,0
08:56,1,CAVALIERS,Harden,Harden P.FOUL (P1.T1) (J.Capers),NA,FOUL,NA,0,0,0,0,0,0,1
08:49,1,KNICKS,Towns Lost Ball Turnover,Towns Lost Ball Turnover (P1.T1),NA,TURNOVER,NA,0,0,0,0,0,1,0
08:49,1,CAVALIERS,Mitchell,Mitchell STEAL (1 STL),NA,STEAL,NA,0,0,0,1,0,0,0
