time,quarter,team,player,play,distance,result,assist,points,rebounds,assists,steals,blocks,turnovers,fouls
12:00,1,KNICKS,Towns,Jump Ball Towns vs. Drummond: Tip to Hart,NA,Jump Ball Towns vs. Drummond: Tip to Hart,NA,0,0,0,0,0,0,0
11:38,1,KNICKS,Hart,MISS Hart 25' 3PT Step Back Jump Shot,25,3PT Step Back Jump Shot,NA,0,0,0,0,0,0,0
11:36,1,SIXERS,Drummond,Drummond REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
11:30,1,SIXERS,Oubre,Oubre Jr. 2' Running Dunk (2 PTS) (George 1 AST),2,Jr. 2' Running Dunk,George,2,0,1,0,0,0,0
11:14,1,KNICKS,Bridges,Bridges 1' Cutting Finger Roll Layup Shot (2 PTS) (Towns 1 AST),1,Cutting Finger Roll Layup Shot,Towns,2,0,1,0,0,0,0
10:54,1,SIXERS,George,George 12' Jump Shot (2 PTS),12,Jump Shot,NA,2,0,0,0,0,0,0
10:29,1,KNICKS,Anunoby,Anunoby 24' 3PT Jump Shot (3 PTS) (Brunson 1 AST),24,3PT Jump Shot,Brunson,3,0,1,0,0,0,0
10:12,1,SIXERS,George,George 25' 3PT Pullup Jump Shot (5 PTS),25,3PT Pullup Jump Shot,NA,3,0,0,0,0,0,0
09:56,1,SIXERS,Drummond,Drummond P.FOUL (P1.T1) (T.Brothers),NA,FOUL,NA,0,0,0,0,0,0,1
09:50,1,KNICKS,Towns OFF,Towns OFF.Foul (P1) (T.Brothers),NA,FOUL,NA,0,0,0,0,0,0,1
09:50,1,KNICKS,Towns Offensive Foul Turnover,Towns Offensive Foul Turnover (P1.T1),NA,TURNOVER,NA,0,0,0,0,0,1,1
09:35,1,SIXERS,Maxey Backcourt Turnover,Maxey Backcourt Turnover (P1.T1),NA,TURNOVER,NA,0,0,0,0,0,1,0
09:22,1,SIXERS,Oubre,Oubre Jr. FLAGRANT.FOUL.TYPE1 (P1.T2) (T.Brothers),NA,FOUL,NA,0,0,0,0,0,0,1
09:22,1,KNICKS,Instant Replay,Instant Replay1st Period (7:19 PM EST),NA,Instant Replay1st Period (7:19 PM EST),NA,0,0,0,0,0,0,0
09:22,1,KNICKS,Towns Free Throw Flagrant,Towns Free Throw Flagrant 1 of 2 (1 PTS),NA,Free Throw Flagrant 1 of 2,NA,1,0,0,0,0,0,0
09:22,1,KNICKS,Towns Free Throw Flagrant,MISS Towns Free Throw Flagrant 2 of 2,NA,Free Throw Flagrant 2 of 2,NA,0,0,0,0,0,0,0
09:22,1,KNICKS,KNICKS,KNICKS Rebound,NA,REBOUND,NA,0,1,0,0,0,0,0
09:12,1,KNICKS,Towns,Towns 2' Driving Finger Roll Layup (3 PTS),2,Driving Finger Roll Layup,NA,2,0,0,0,0,0,0
08:59,1,SIXERS,George OFF,George OFF.Foul (P1) (T.Ford),NA,FOUL,NA,0,0,0,0,0,0,1
08:59,1,SIXERS,George Offensive Foul Turnover,George Offensive Foul Turnover (P1.T2),NA,TURNOVER,NA,0,0,0,0,0,1,1
08:46,1,KNICKS,Hart,MISS Hart 3PT Jump Shot,NA,3PT Jump Shot,NA,0,0,0,0,0,0,0
08:43,1,SIXERS,Edgecombe,Edgecombe REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
08:27,1,SIXERS,Oubre,Oubre Jr. Lost Ball Turnover (P1.T3),NA,TURNOVER,NA,0,0,0,0,0,1,0
08:27,1,KNICKS,Anunoby,Anunoby STEAL (1 STL),NA,STEAL,NA,0,0,0,1,0,0,0
08:25,1,KNICKS,Anunoby,MISS Anunoby 24' 3PT Running Jump Shot,24,3PT Running Jump Shot,NA,0,0,0,0,0,0,0
