time,quarter,team,player,play,distance,result,assist,points,rebounds,assists,steals,blocks,turnovers,fouls
12:00,1,SPURS,Wembanyama,Jump Ball Wembanyama vs. Holmgren: Tip to Castle,NA,Jump Ball Wembanyama vs. Holmgren: Tip to Castle,NA,0,0,0,0,0,0,0
11:39,1,SPURS,Fox,Fox 2' Driving Finger Roll Layup (2 PTS) (Castle 1 AST),2,Driving Finger Roll Layup,Castle,2,0,1,0,0,0,0
11:22,1,THUNDER,Holmgren,MISS Holmgren 12' Pullup Jump Shot,12,Pullup Jump Shot,NA,0,0,0,0,0,0,0
11:20,1,SPURS,Wembanyama REBOUND,Wembanyama REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
11:03,1,SPURS,Wembanyama,Wembanyama 25' 3PT Step Back Jump Shot (3 PTS),25,3PT Step Back Jump Shot,NA,3,0,0,0,0,0,0
10:43,1,THUNDER,Mitchell Lost Ball Turnover,Mitchell Lost Ball Turnover (P1.T1),NA,TURNOVER,NA,0,0,0,0,0,1,0
10:43,1,SPURS,Fox STEAL,Fox STEAL (1 STL),NA,STEAL,NA,0,0,0,1,0,0,0
10:38,1,SPURS,Champagnie,MISS Champagnie 24' 3PT Running Jump Shot,24,3PT Running Jump Shot,NA,0,0,0,0,0,0,0
10:35,1,SPURS,Castle REBOUND,Castle REBOUND (Off:1 Def:0),NA,REBOUND,NA,0,1,0,0,0,0,0
10:35,1,THUNDER,Gilgeous-Alexander,Gilgeous-Alexander S.FOUL (P1.T1) (J.Van Duyne),NA,FOUL,NA,0,0,0,0,0,0,1
10:35,1,SPURS,Castle Free Throw,Castle Free Throw 1 of 2 (1 PTS),NA,Free Throw 1 of 2,NA,1,0,0,0,0,0,0
10:35,1,SPURS,Castle Free Throw,Castle Free Throw 2 of 2 (2 PTS),NA,Free Throw 2 of 2,NA,1,0,0,0,0,0,0
10:26,1,SPURS,Castle,Castle P.FOUL (P1.T1) (M.Davis),NA,FOUL,NA,0,0,0,0,0,0,1
10:19,1,THUNDER,Mitchell,MISS Mitchell 11' Pullup Jump Shot,11,Pullup Jump Shot,NA,0,0,0,0,0,0,0
10:15,1,SPURS,Vassell REBOUND,Vassell REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
10:12,1,SPURS,Vassell,Vassell 25' 3PT Running Pull-Up Jump Shot (3 PTS),25,3PT Running Pull-Up Jump Shot,NA,3,0,0,0,0,0,0
10:10,1,UNKNOWN,Thunder Timeout,Thunder Timeout: Regular (Reg.1 Short 0),NA,TIMEOUT,NA,0,0,0,0,0,0,0
09:57,1,THUNDER,Gilgeous-Alexander,MISS Gilgeous-Alexander 2' Driving Layup,2,Driving Layup,NA,0,0,0,0,0,0,0
09:54,1,THUNDER,Holmgren REBOUND,Holmgren REBOUND (Off:1 Def:0),NA,REBOUND,NA,0,1,0,0,0,0,0
09:48,1,THUNDER,Dort Lost Ball Turnover,Dort Lost Ball Turnover (P1.T2),NA,TURNOVER,NA,0,0,0,0,0,1,0
09:48,1,SPURS,Castle STEAL,Castle STEAL (1 STL),NA,STEAL,NA,0,0,0,1,0,0,0
09:44,1,SPURS,Fox,Fox 2' Running Finger Roll Layup (4 PTS) (Wembanyama 1 AST),2,Running Finger Roll Layup,Wembanyama,2,0,1,0,0,0,0
09:31,1,THUNDER,Gilgeous-Alexander,MISS Gilgeous-Alexander 17' Pullup Jump Shot,17,Pullup Jump Shot,NA,0,0,0,0,0,0,0
09:31,1,SPURS,Castle BLOCK,Castle BLOCK (1 BLK),NA,BLOCK,NA,0,0,0,0,1,0,0
09:31,1,SPURS,Fox REBOUND,Fox REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
09:23,1,SPURS,Vassell,Vassell 25' 3PT Jump Shot (6 PTS) (Champagnie 1 AST),25,3PT Jump Shot,Champagnie,3,0,1,0,0,0,0
08:58,1,THUNDER,Hartenstein,MISS Hartenstein 16' Floating Jump Shot,16,Floating Jump Shot,NA,0,0,0,0,0,0,0
08:58,1,SPURS,Wembanyama BLOCK,Wembanyama BLOCK (1 BLK),NA,BLOCK,NA,0,0,0,0,1,0,0
08:57,1,UNKNOWN,Thunder Rebound,Thunder Rebound,NA,REBOUND,NA,0,1,0,0,0,0,0
