time,quarter,team,player,play,distance,result,assist,points,rebounds,assists,steals,blocks,turnovers,fouls
12:00,1,KNICKS,Towns,Jump Ball Towns vs. Wembanyama: Tip to Fox,NA,Jump Ball Towns vs. Wembanyama: Tip to Fox,NA,0,0,0,0,0,0,0
11:42,1,KNICKS,Towns,Towns S.FOUL (P1.T1) (C.Kirkland),NA,FOUL,NA,0,0,0,0,0,0,1
11:42,1,SPURS,Fox Free Throw,Fox Free Throw 1 of 2 (1 PTS),NA,Free Throw 1 of 2,NA,1,0,0,0,0,0,0
11:42,1,SPURS,Fox Free Throw,Fox Free Throw 2 of 2 (2 PTS),NA,Free Throw 2 of 2,NA,1,0,0,0,0,0,0
11:21,1,KNICKS,Towns,Towns 7' Driving Floating Jump Shot (2 PTS) (Hart 1 AST),7,Driving Floating Jump Shot,Hart,2,0,1,0,0,0,0
11:09,1,SPURS,Vassell,Vassell 26' 3PT Jump Shot (3 PTS) (Castle 1 AST),26,3PT Jump Shot,Castle,3,0,1,0,0,0,0
10:58,1,KNICKS,Towns OFF,Towns OFF.Foul (P2) (Z.Zarba),NA,FOUL,NA,0,0,0,0,0,0,1
10:58,1,KNICKS,Towns Offensive Foul Turnover,Towns Offensive Foul Turnover (P1.T1),NA,TURNOVER,NA,0,0,0,0,0,1,1
10:58,1,SPURS,Spurs Timeout,Spurs Timeout: Regular (Reg.1 Short 0),NA,TIMEOUT,NA,0,0,0,0,0,0,0
10:58,1,SPURS,Instant Replay,Instant Replay1st Period (8:46 PM EST),NA,Instant Replay1st Period (8:46 PM EST),NA,0,0,0,0,0,0,0
10:58,1,KNICKS,Robinson,SUB: Robinson FOR Towns,NA,SUB,NA,0,0,0,0,0,0,0
10:42,1,SPURS,Wembanyama,Wembanyama 5' Turnaround Jump Shot (2 PTS),5,Turnaround Jump Shot,NA,2,0,0,0,0,0,0
10:32,1,KNICKS,Robinson,MISS Robinson 2' Alley Oop Layup,2,Alley Oop Layup,NA,0,0,0,0,0,0,0
10:30,1,SPURS,Wembanyama,Wembanyama REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
10:26,1,SPURS,Castle,MISS Castle 25' 3PT Running Jump Shot,25,3PT Running Jump Shot,NA,0,0,0,0,0,0,0
10:23,1,KNICKS,Hart,Hart REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
10:15,1,KNICKS,Anunoby,MISS Anunoby 13' Step Back Jump Shot,13,Step Back Jump Shot,NA,0,0,0,0,0,0,0
10:13,1,SPURS,Castle,Castle REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
