time,quarter,team,player,play,distance,result,assist,points,rebounds,assists,steals,blocks,turnovers,fouls
12:00,1,HAWKS,Okongwu,Jump Ball Okongwu vs. Towns: Tip to Hart,NA,Jump Ball Okongwu vs. Towns: Tip to Hart,NA,0,0,0,0,0,0,0
11:41,1,KNICKS,Brunson,Brunson 25' 3PT Jump Shot (3 PTS) (Towns 1 AST),25,3PT Jump Shot,Towns,3,0,1,0,0,0,0
11:17,1,HAWKS,Alexander-Walker Bad Pass Turnover,Alexander-Walker Bad Pass Turnover (P1.T1),NA,TURNOVER,NA,0,0,0,0,0,1,0
11:17,1,KNICKS,Brunson,Brunson STEAL (1 STL),NA,STEAL,NA,0,0,0,1,0,0,0
11:11,1,KNICKS,Brunson,MISS Brunson 26' 3PT Running Jump Shot,26,3PT Running Jump Shot,NA,0,0,0,0,0,0,0
11:08,1,HAWKS,Okongwu,Okongwu REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
11:02,1,HAWKS,McCollum Out,McCollum Out of Bounds Lost Ball Turnover (P1.T2),NA,TURNOVER,NA,0,0,0,0,0,1,0
10:46,1,KNICKS,Anunoby,Anunoby 1' Dunk (2 PTS) (Brunson 1 AST),1,Dunk,Brunson,2,0,1,0,0,0,0
10:35,1,HAWKS,Johnson,Johnson 1' Cutting Dunk Shot (2 PTS) (Okongwu 1 AST),1,Cutting Dunk Shot,Okongwu,2,0,1,0,0,0,0
10:19,1,KNICKS,Hart Bad Pass Turnover,Hart Bad Pass Turnover (P1.T1),NA,TURNOVER,NA,0,0,0,0,0,1,0
10:19,1,HAWKS,Daniels,Daniels STEAL (1 STL),NA,STEAL,NA,0,0,0,1,0,0,0
10:07,1,KNICKS,Hart,Hart S.FOUL (P1.T1) (J.Williams),NA,FOUL,NA,0,0,0,0,0,0,1
10:07,1,HAWKS,Alexander-Walker Free Throw,Alexander-Walker Free Throw 1 of 2 (1 PTS),NA,Free Throw 1 of 2,NA,1,0,0,0,0,0,0
10:07,1,HAWKS,Alexander-Walker Free Throw,Alexander-Walker Free Throw 2 of 2 (2 PTS),NA,Free Throw 2 of 2,NA,1,0,0,0,0,0,0
09:43,1,KNICKS,Knicks,Knicks Turnover: Shot Clock (T#2),NA,TURNOVER,NA,0,0,0,0,0,1,0
09:30,1,HAWKS,Okongwu,Okongwu 2' Cutting Layup Shot (2 PTS) (Alexander-Walker 1 AST),2,Cutting Layup Shot,Alexander-Walker,2,0,1,0,0,0,0
09:20,1,KNICKS,Hart,MISS Hart 1' Driving Layup,1,Driving Layup,NA,0,0,0,0,0,0,0
09:20,1,HAWKS,Johnson,Johnson BLOCK (1 BLK),NA,BLOCK,NA,0,0,0,0,1,0,0
09:18,1,HAWKS,Johnson,Johnson REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
09:13,1,HAWKS,Alexander-Walker,Alexander-Walker 3PT Running Jump Shot (5 PTS) (Johnson 1 AST),NA,3PT Running Jump Shot,Johnson,3,0,1,0,0,0,0
08:53,1,KNICKS,Anunoby,Anunoby 17' Jump Shot (4 PTS),17,Jump Shot,NA,2,0,0,0,0,0,0
08:36,1,HAWKS,Daniels,MISS Daniels 3PT Jump Shot,NA,3PT Jump Shot,NA,0,0,0,0,0,0,0
08:33,1,KNICKS,Anunoby,Anunoby REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
08:28,1,KNICKS,Bridges,Bridges 3' Running Layup (2 PTS) (Anunoby 1 AST),3,Running Layup,Anunoby,2,0,1,0,0,0,0
08:11,1,HAWKS,Johnson,Johnson 13' Pullup Jump Shot (4 PTS),13,Pullup Jump Shot,NA,2,0,0,0,0,0,0
07:50,1,KNICKS,Anunoby,Anunoby 26' 3PT Jump Shot (7 PTS) (Towns 2 AST),26,3PT Jump Shot,Towns,3,0,1,0,0,0,0
07:37,1,HAWKS,McCollum,MISS McCollum 26' 3PT Pullup Jump Shot,26,3PT Pullup Jump Shot,NA,0,0,0,0,0,0,0
07:35,1,KNICKS,Bridges,Bridges REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
07:24,1,KNICKS,Towns,MISS Towns 2' Driving Floating Jump Shot,2,Driving Floating Jump Shot,NA,0,0,0,0,0,0,0
07:20,1,HAWKS,Okongwu,Okongwu REBOUND (Off:0 Def:2),NA,REBOUND,NA,0,1,0,0,0,0,0
07:12,1,HAWKS,Okongwu,MISS Okongwu 26' 3PT Jump Shot,26,3PT Jump Shot,NA,0,0,0,0,0,0,0
07:09,1,KNICKS,Anunoby,Anunoby REBOUND (Off:0 Def:2),NA,REBOUND,NA,0,1,0,0,0,0,0
06:55,1,KNICKS,Anunoby,Anunoby 25' 3PT Jump Shot (10 PTS) (Towns 3 AST),25,3PT Jump Shot,Towns,3,0,1,0,0,0,0
06:55,1,HAWKS,HAWKS Timeout,HAWKS Timeout: Regular (Full 1 Short 0),NA,TIMEOUT,NA,0,0,0,0,0,0,0
06:55,1,HAWKS,Vincent,SUB: Vincent FOR McCollum,NA,SUB,NA,0,0,0,0,0,0,0
06:55,1,HAWKS,Gueye,SUB: Gueye FOR Okongwu,NA,SUB,NA,0,0,0,0,0,0,0
06:44,1,HAWKS,Gueye,MISS Gueye 24' 3PT Jump Shot,24,3PT Jump Shot,NA,0,0,0,0,0,0,0
06:42,1,KNICKS,Knicks,Knicks Rebound,NA,REBOUND,NA,0,1,0,0,0,0,0
06:16,1,KNICKS,Bridges,Bridges 1' Cutting Finger Roll Layup Shot (4 PTS) (Towns 4 AST),1,Cutting Finger Roll Layup Shot,Towns,2,0,1,0,0,0,0
06:06,1,HAWKS,Daniels,MISS Daniels 3' Cutting Layup Shot,3,Cutting Layup Shot,NA,0,0,0,0,0,0,0
06:06,1,KNICKS,Towns,Towns BLOCK (1 BLK),NA,BLOCK,NA,0,0,0,0,1,0,0
06:05,1,KNICKS,Towns,Towns REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
06:00,1,KNICKS,Bridges,Bridges 1' Running Reverse Layup (6 PTS) (Brunson 2 AST),1,Running Reverse Layup,Brunson,2,0,1,0,0,0,0
05:47,1,KNICKS,Bridges,Bridges P.FOUL (P1.T2) (K.Scott),NA,FOUL,NA,0,0,0,0,0,0,1
05:40,1,HAWKS,Daniels Bad Pass Turnover,Daniels Bad Pass Turnover (P1.T3),NA,TURNOVER,NA,0,0,0,0,0,1,0
05:40,1,KNICKS,Anunoby,Anunoby STEAL (1 STL),NA,STEAL,NA,0,0,0,1,0,0,0
05:35,1,KNICKS,Brunson,MISS Brunson 24' 3PT Running Jump Shot,24,3PT Running Jump Shot,NA,0,0,0,0,0,0,0
05:32,1,HAWKS,Alexander-Walker,Alexander-Walker REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
05:24,1,HAWKS,Alexander-Walker Bad Pass Turnover,Alexander-Walker Bad Pass Turnover (P2.T4),NA,TURNOVER,NA,0,0,0,0,0,1,0
05:24,1,KNICKS,Anunoby,Anunoby STEAL (2 STL),NA,STEAL,NA,0,0,0,1,0,0,0
05:20,1,KNICKS,Hart,Hart 1' Running Layup (2 PTS) (Anunoby 2 AST),1,Running Layup,Anunoby,2,0,1,0,0,0,0
05:00,1,HAWKS,Johnson,MISS Johnson 11' Turnaround Jump Shot,11,Turnaround Jump Shot,NA,0,0,0,0,0,0,0
04:56,1,HAWKS,Gueye,Gueye REBOUND (Off:1 Def:0),NA,REBOUND,NA,0,1,0,0,0,0,0
04:53,1,HAWKS,Kuminga,SUB: Kuminga FOR Alexander-Walker,NA,SUB,NA,0,0,0,0,0,0,0
04:53,1,KNICKS,McBride,SUB: McBride FOR Anunoby,NA,SUB,NA,0,0,0,0,0,0,0
04:53,1,KNICKS,Robinson,SUB: Robinson FOR Bridges,NA,SUB,NA,0,0,0,0,0,0,0
04:53,1,HAWKS,Gueye,Jump Ball Gueye vs. Towns: Tip to McBride,NA,Jump Ball Gueye vs. Towns: Tip to McBride,NA,0,0,0,0,0,0,0
04:49,1,HAWKS,Gueye Lost Ball Turnover,Gueye Lost Ball Turnover (P1.T5),NA,TURNOVER,NA,0,0,0,0,0,1,0
04:49,1,KNICKS,Towns,Towns STEAL (1 STL),NA,STEAL,NA,0,0,0,1,0,0,0
04:26,1,KNICKS,Brunson,Brunson 10' Driving Floating Bank Jump Shot (5 PTS),10,Driving Floating Bank Jump Shot,NA,2,0,0,0,0,0,0
04:10,1,HAWKS,Gueye,Gueye 1' Alley Oop Dunk (2 PTS) (Johnson 2 AST),1,Alley Oop Dunk,Johnson,2,0,1,0,0,0,0
04:01,1,KNICKS,Hart,MISS Hart 2' Driving Layup,2,Driving Layup,NA,0,0,0,0,0,0,0
04:01,1,HAWKS,Kuminga,Kuminga BLOCK (1 BLK),NA,BLOCK,NA,0,0,0,0,1,0,0
04:00,1,KNICKS,Knicks,Knicks Rebound,NA,REBOUND,NA,0,1,0,0,0,0,0
04:00,1,HAWKS,Okongwu,SUB: Okongwu FOR Gueye,NA,SUB,NA,0,0,0,0,0,0,0
03:51,1,KNICKS,Brunson,Brunson 1' Driving Reverse Layup (7 PTS) (Hart 1 AST),1,Driving Reverse Layup,Hart,2,0,1,0,0,0,0
03:32,1,HAWKS,Daniels Lost Ball Turnover,Daniels Lost Ball Turnover (P2.T6),NA,TURNOVER,NA,0,0,0,0,0,1,0
03:32,1,KNICKS,Brunson,Brunson STEAL (2 STL),NA,STEAL,NA,0,0,0,1,0,0,0
03:19,1,HAWKS,Daniels,Daniels P.FOUL (P1.T1) (K.Scott),NA,FOUL,NA,0,0,0,0,0,0,1
03:19,1,KNICKS,Knicks Timeout,Knicks Timeout: Regular (Reg.1 Short 0),NA,TIMEOUT,NA,0,0,0,0,0,0,0
03:19,1,HAWKS,McCollum,SUB: McCollum FOR Vincent,NA,SUB,NA,0,0,0,0,0,0,0
03:19,1,KNICKS,Anunoby,SUB: Anunoby FOR Hart,NA,SUB,NA,0,0,0,0,0,0,0
03:19,1,KNICKS,Clarkson,SUB: Clarkson FOR Towns,NA,SUB,NA,0,0,0,0,0,0,0
03:11,1,KNICKS,Anunoby,MISS Anunoby 26' 3PT Pullup Jump Shot,26,3PT Pullup Jump Shot,NA,0,0,0,0,0,0,0
03:08,1,KNICKS,Robinson,Robinson REBOUND (Off:1 Def:0),NA,REBOUND,NA,0,1,0,0,0,0,0
03:04,1,KNICKS,Anunoby,Anunoby 12' Driving Floating Bank Jump Shot (12 PTS) (Brunson 3 AST),12,Driving Floating Bank Jump Shot,Brunson,2,0,1,0,0,0,0
02:52,1,KNICKS,McBride,McBride P.FOUL (P1.T3) (K.Scott),NA,FOUL,NA,0,0,0,0,0,0,1
02:44,1,HAWKS,Okongwu Lost Ball Turnover,Okongwu Lost Ball Turnover (P1.T7),NA,TURNOVER,NA,0,0,0,0,0,1,0
02:44,1,KNICKS,McBride,McBride STEAL (1 STL),NA,STEAL,NA,0,0,0,1,0,0,0
02:36,1,KNICKS,Robinson,Robinson 2' Alley Oop Layup (2 PTS) (Clarkson 1 AST),2,Alley Oop Layup,Clarkson,2,0,1,0,0,0,0
02:21,1,HAWKS,Johnson,MISS Johnson 8' Driving Floating Jump Shot,8,Driving Floating Jump Shot,NA,0,0,0,0,0,0,0
02:18,1,KNICKS,Anunoby,Anunoby REBOUND (Off:0 Def:3),NA,REBOUND,NA,0,1,0,0,0,0,0
02:11,1,KNICKS,McBride,McBride 25' 3PT Running Pull-Up Jump Shot (3 PTS),25,3PT Running Pull-Up Jump Shot,NA,3,0,0,0,0,0,0
02:01,1,HAWKS,McCollum,McCollum 10' Driving Floating Jump Shot (2 PTS),10,Driving Floating Jump Shot,NA,2,0,0,0,0,0,0
01:50,1,KNICKS,Anunoby,Anunoby 1' Driving Layup (14 PTS) (Brunson 4 AST),1,Driving Layup,Brunson,2,0,1,0,0,0,0
01:48,1,HAWKS,HAWKS Timeout,HAWKS Timeout: Regular (Full 2 Short 0),NA,TIMEOUT,NA,0,0,0,0,0,0,0
01:48,1,HAWKS,Alexander-Walker,SUB: Alexander-Walker FOR Johnson,NA,SUB,NA,0,0,0,0,0,0,0
01:35,1,HAWKS,McCollum Lost Ball Turnover,McCollum Lost Ball Turnover (P2.T8),NA,TURNOVER,NA,0,0,0,0,0,1,0
01:35,1,KNICKS,McBride,McBride STEAL (2 STL),NA,STEAL,NA,0,0,0,1,0,0,0
01:22,1,KNICKS,Clarkson,MISS Clarkson 5' Floating Jump Shot,5,Floating Jump Shot,NA,0,0,0,0,0,0,0
01:20,1,HAWKS,Okongwu,Okongwu REBOUND (Off:0 Def:3),NA,REBOUND,NA,0,1,0,0,0,0,0
01:15,1,HAWKS,McCollum,MISS McCollum 6' Running Layup,6,Running Layup,NA,0,0,0,0,0,0,0
01:15,1,KNICKS,Robinson,Robinson BLOCK (1 BLK),NA,BLOCK,NA,0,0,0,0,1,0,0
01:14,1,KNICKS,Brunson,Brunson REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
01:04,1,KNICKS,Clarkson,MISS Clarkson 24' 3PT Jump Shot,24,3PT Jump Shot,NA,0,0,0,0,0,0,0
01:02,1,KNICKS,Robinson,Robinson REBOUND (Off:2 Def:0),NA,REBOUND,NA,0,1,0,0,0,0,0
01:02,1,KNICKS,Robinson Tip Layup Shot,Robinson Tip Layup Shot (4 PTS),NA,Tip Layup Shot,NA,2,0,0,0,0,0,0
00:58,1,KNICKS,McBride Personal Take Foul,McBride Personal Take Foul (P2.T4) (B.Barnaky),NA,FOUL,NA,0,0,0,0,0,0,1
00:58,1,KNICKS,Towns,SUB: Towns FOR Robinson,NA,SUB,NA,0,0,0,0,0,0,0
00:58,1,KNICKS,Bridges,SUB: Bridges FOR McBride,NA,SUB,NA,0,0,0,0,0,0,0
00:52,1,HAWKS,Alexander-Walker,MISS Alexander-Walker 25' 3PT Pullup Jump Shot,25,3PT Pullup Jump Shot,NA,0,0,0,0,0,0,0
00:49,1,KNICKS,Bridges,Bridges REBOUND (Off:0 Def:2),NA,REBOUND,NA,0,1,0,0,0,0,0
00:42,1,KNICKS,Brunson,Brunson 1' Driving Layup (9 PTS),1,Driving Layup,NA,2,0,0,0,0,0,0
00:34,1,HAWKS,McCollum,MISS McCollum 2' Driving Layup,2,Driving Layup,NA,0,0,0,0,0,0,0
00:34,1,KNICKS,Bridges,Bridges BLOCK (1 BLK),NA,BLOCK,NA,0,0,0,0,1,0,0
00:28,1,KNICKS,Knicks,Knicks Rebound,NA,REBOUND,NA,0,1,0,0,0,0,0
00:05,1,KNICKS,Bridges,Bridges 11' Jump Shot (8 PTS) (Brunson 5 AST),11,Jump Shot,Brunson,2,0,1,0,0,0,0
00:01,1,HAWKS,HAWKS Heave,HAWKS Heave,NA,HAWKS Heave,NA,0,0,0,0,0,0,0
00:00,1,HAWKS,HAWKS,HAWKS Rebound,NA,REBOUND,NA,0,1,0,0,0,0,0
11:45,2,HAWKS,Alexander-Walker Bad Pass Turnover,Alexander-Walker Bad Pass Turnover (P3.T9),NA,TURNOVER,NA,0,0,0,0,0,1,0
11:45,2,KNICKS,Alvarado,Alvarado STEAL (1 STL),NA,STEAL,NA,0,0,0,1,0,0,0
11:43,2,HAWKS,McCollum,McCollum L.B.FOUL (P1.T1) (B.Barnaky),NA,FOUL,NA,0,0,0,0,0,0,1
11:29,2,KNICKS,Anunoby,Anunoby 25' 3PT Jump Shot (17 PTS) (Alvarado 1 AST),25,3PT Jump Shot,Alvarado,3,0,1,0,0,0,0
11:20,2,HAWKS,Kuminga Bad Pass Turnover,Kuminga Bad Pass Turnover (P1.T10),NA,TURNOVER,NA,0,0,0,0,0,1,0
11:20,2,KNICKS,Anunoby,Anunoby STEAL (3 STL),NA,STEAL,NA,0,0,0,1,0,0,0
11:16,2,HAWKS,Kuminga,Kuminga S.FOUL (P1.T2) (J.Williams),NA,FOUL,NA,0,0,0,0,0,0,1
11:16,2,KNICKS,Anunoby Free Throw,MISS Anunoby Free Throw 1 of 2,NA,Free Throw 1 of 2,NA,0,0,0,0,0,0,0
11:16,2,KNICKS,Knicks,Knicks Rebound,NA,REBOUND,NA,0,1,0,0,0,0,0
11:16,2,KNICKS,Anunoby Free Throw,Anunoby Free Throw 2 of 2 (18 PTS),NA,Free Throw 2 of 2,NA,1,0,0,0,0,0,0
11:07,2,KNICKS,Alvarado,Alvarado S.FOUL (P1.T1) (K.Scott),NA,FOUL,NA,0,0,0,0,0,0,1
